Unnamed: 0,Mėnuo,VOLKSWAGEN,BMW,AUDI,TOYOTA,OPEL,Is ju M1 klases naudotu lengvuju automobiliu
0,Sausis,1439,1160,793,630,611,9163
1,Vasaris,1398,1186,853,682,622,9336
2,Kovas,1500,1272,895,734,615,9725
3,Balandis,2049,1597,1229,911,912,13170
4,Gegužė,2239,1780,1257,1041,1037,14850
5,Birželis,2200,1645,1223,913,1036,14127
6,Liepa,1494,1548,1025,801,652,10858
7,Rugpjūtis,1743,1499,1057,794,720,11650
8,Rugsėjis,1788,1596,1052,800,688,11798
9,Spalis,1832,1810,1142,794,766,12454
10,Lapkritis,1741,1650,1067,729,798,11983
11,Gruodis,1560,1682,1084,683,799,11440
12,Iš viso,20983,18425,12677,9512,9256,140554
