Unnamed: 0,Mėnuo,TOYOTA,VOLKSWAGEN,SKODA,KIA,NISSAN,Is ju M1 klases nauju lengvuju automobiliu
0,Sausis,574,137,211,128,104,2241
1,Vasaris,454,129,170,136,114,1901
2,Kovas,538,218,146,190,173,2350
3,Balandis,533,326,124,195,92,2345
4,Gegužė,674,249,155,164,159,2626
5,Birželis,532,401,179,58,239,2519
6,Liepa,415,494,147,73,113,2130
7,Rugpjūtis,544,411,118,106,115,2246
8,Rugsėjis,510,168,192,167,80,2216
9,Spalis,368,205,155,110,76,1711
10,Lapkritis,380,195,141,88,105,1766
11,Gruodis,371,166,127,101,57,1445
12,Iš viso,5893,3099,1865,1516,1427,25496
